"name","tenure","party","race","gender","politicalexperience","district","appointed","propvote","cmtchair","partyleader","chambermed","newscore","year","upper","outdegree","indegree","state","limits","squire","majority","republican","democrat","nonwhite","female","ideodistchamber","nwomen","nleg","npoc","nmaj","propwomen","proppoc","propmaj","propmin","majp","maj","maj_sd","st","h_chamber_sd","s_chamber_sd","introlimit","partybal","h_dem_sd_avg","s_dem_sd_avg","h_rep_sd_avg","s_rep_sd_avg","house","h_rep_sd","s_rep_sd","h_dem_sd","s_dem_sd","hou_dem_median","hou_rep_median","sen_dem_median","sen_rep_median","h_rep_med","s_rep_med","h_dem_med","s_dem_med","sessionid","lower","yearshort","partycolors","yearlong"
"Lyman Hoffman",28,"D","native","male",1,"S",0,1,1,0,0.468,-0.458,18,"U",7,4,"AK",0,0.296,0,0,1,1,0,0.926,6,21,3,15,0.285714286,0.142857143,0.714285714,0.285714286,FALSE,"R",0.345060382,"ak",0.800102039,0.878910595,0,0.428571428,0.336461654,0.45937735,0.326568103,0.343860601,0,0,0,0,0.45937735,-0.5775,0.857,-0.953,0.725,0,0,0,-0.953,"AKU18","U",18,"#0072B2",2018
"Shelley Hughes",2,"R","white","female",1,"F",0,0.717271984,0,0,0.468,0.972,18,"U",1,7,"AK",0,0.296,1,1,0,0,1,0.504,6,21,3,15,0.285714286,0.142857143,0.714285714,0.285714286,TRUE,"R",0.345060382,"ak",0.800102039,0.878910595,0,0.428571428,0.336461654,0.45937735,0.326568103,0.343860601,0,0,0.343860601,0,0,-0.5775,0.857,-0.953,0.725,0,0.725,0,0,"AKU18","U",18,"#D55E00",2018
"Peter Kelly",20,"R","white","male",1,"A",0,0.607525065,1,1,0.468,0.805,18,"U",5,3,"AK",0,0.296,1,1,0,0,0,0.337,6,21,3,15,0.285714286,0.142857143,0.714285714,0.285714286,TRUE,"R",0.345060382,"ak",0.800102039,0.878910595,0,0.428571428,0.336461654,0.45937735,0.326568103,0.343860601,0,0,0.343860601,0,0,-0.5775,0.857,-0.953,0.725,0,0.725,0,0,"AKU18","U",18,"#D55E00",2018
"Kevin Meyer",8,"R","white","male",1,"M",0,0.700381679,1,0,0.468,0.819,18,"U",13,5,"AK",0,0.296,1,1,0,0,0,0.351,6,21,3,15,0.285714286,0.142857143,0.714285714,0.285714286,TRUE,"R",0.345060382,"ak",0.800102039,0.878910595,0,0.428571428,0.336461654,0.45937735,0.326568103,0.343860601,0,0,0.343860601,0,0,-0.5775,0.857,-0.953,0.725,0,0.725,0,0,"AKU18","U",18,"#D55E00",2018
"Peter Micciche",6,"R","white","male",1,"O",0,0.766664406,0,1,0.468,1.193,18,"U",16,10,"AK",0,0.296,1,1,0,0,0,0.725,6,21,3,15,0.285714286,0.142857143,0.714285714,0.285714286,TRUE,"R",0.345060382,"ak",0.800102039,0.878910595,0,0.428571428,0.336461654,0.45937735,0.326568103,0.343860601,0,0,0.343860601,0,0,-0.5775,0.857,-0.953,0.725,0,0.725,0,0,"AKU18","U",18,"#D55E00",2018
"Donald Olson",18,"D","native","male",1,"T",0,0.969352113,0,0,0.468,-0.649,18,"U",10,5,"AK",0,0.296,0,0,1,1,0,1.117,6,21,3,15,0.285714286,0.142857143,0.714285714,0.285714286,FALSE,"R",0.345060382,"ak",0.800102039,0.878910595,0,0.428571428,0.336461654,0.45937735,0.326568103,0.343860601,0,0,0,0,0.45937735,-0.5775,0.857,-0.953,0.725,0,0,0,-0.953,"AKU18","U",18,"#0072B2",2018
"Mike Shower",0,"R","white","male",0,"E",1,0.7409924,0,0,0.468,0.06,18,"U",9,2,"AK",0,0.296,1,1,0,0,0,0.408,6,21,3,15,0.285714286,0.142857143,0.714285714,0.285714286,TRUE,"R",0.345060382,"ak",0.800102039,0.878910595,0,0.428571428,0.336461654,0.45937735,0.326568103,0.343860601,0,0,0.343860601,0,0,-0.5775,0.857,-0.953,0.725,0,0.725,0,0,"AKU18","U",18,"#D55E00",2018
"Bert Stedman",14,"R","white","male",0,"R",1,0.957342449,1,0,0.468,0.416,18,"U",2,6,"AK",0,0.296,1,1,0,0,0,0.052,6,21,3,15,0.285714286,0.142857143,0.714285714,0.285714286,TRUE,"R",0.345060382,"ak",0.800102039,0.878910595,0,0.428571428,0.336461654,0.45937735,0.326568103,0.343860601,0,0,0.343860601,0,0,-0.5775,0.857,-0.953,0.725,0,0.725,0,0,"AKU18","U",18,"#D55E00",2018
"Gary Stevens",15,"R","white","male",1,"P",1,0.963972011,1,0,0.468,0.52,18,"U",15,10,"AK",0,0.296,1,1,0,0,0,0.052,6,21,3,15,0.285714286,0.142857143,0.714285714,0.285714286,TRUE,"R",0.345060382,"ak",0.800102039,0.878910595,0,0.428571428,0.336461654,0.45937735,0.326568103,0.343860601,0,0,0.343860601,0,0,-0.5775,0.857,-0.953,0.725,0,0.725,0,0,"AKU18","U",18,"#D55E00",2018
"Natasha von Imhof",2,"R","white","female",0,"L",0,0.518059226,0,0,0.468,1.07,18,"U",0,6,"AK",0,0.296,1,1,0,0,1,0.602,6,21,3,15,0.285714286,0.142857143,0.714285714,0.285714286,TRUE,"R",0.345060382,"ak",0.800102039,0.878910595,0,0.428571428,0.336461654,0.45937735,0.326568103,0.343860601,0,0,0.343860601,0,0,-0.5775,0.857,-0.953,0.725,0,0.725,0,0,"AKU18","U",18,"#D55E00",2018
"William Wielechowski",12,"D","white","male",1,"H",0,0.56561086,0,0,0.468,-1.272,18,"U",3,6,"AK",0,0.296,0,0,1,0,0,1.74,6,21,3,15,0.285714286,0.142857143,0.714285714,0.285714286,FALSE,"R",0.345060382,"ak",0.800102039,0.878910595,0,0.428571428,0.336461654,0.45937735,0.326568103,0.343860601,0,0,0,0,0.45937735,-0.5775,0.857,-0.953,0.725,0,0,0,-0.953,"AKU18","U",18,"#0072B2",2018
"David Wilson",2,"R","black","male",1,"D",0,0.964438944,1,0,0.468,0.262,18,"U",13,6,"AK",0,0.296,1,1,0,1,0,0.206,6,21,3,15,0.285714286,0.142857143,0.714285714,0.285714286,TRUE,"R",0.345060382,"ak",0.800102039,0.878910595,0,0.428571428,0.336461654,0.45937735,0.326568103,0.343860601,0,0,0.343860601,0,0,-0.5775,0.857,-0.953,0.725,0,0.725,0,0,"AKU18","U",18,"#D55E00",2018
"Edward Acevedo",16,"D","latino","male",0,"2",0,0.828823798,0,1,-0.2695,-1.332,10,"L",9,23,"IL",0,0.294,1,0,1,1,0,1.0625,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Maria Antonia Berrios",8,"D","latino","female",0,"39",0,0.791584457,1,0,-0.2695,-1.356,10,"L",13,29,"IL",0,0.294,1,0,1,1,1,1.0865,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Luis Arroyo",5,"D","latino","male",0,"3",1,1,1,0,-0.2695,-1.368,10,"L",7,39,"IL",0,0.294,1,0,1,1,0,1.0985,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Suzanne Bassi",12,"R","white","female",0,"54",0,1,0,0,-0.2695,0.21,10,"L",30,28,"IL",0,0.294,0,1,0,0,1,0.4795,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"Mark Beaubien",14,"R","white","male",0,"52",0,0.620011557,0,1,-0.2695,-0.163,10,"L",4,26,"IL",0,0.294,0,1,0,0,0,0.1065,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"Daniel Beiser",7,"D","white","male",1,"111",1,1,1,0,-0.2695,-0.451,10,"L",23,31,"IL",0,0.294,1,0,1,0,0,0.1815,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Patricia Bellock",13,"R","white","female",0,"47",0,1,1,0,-0.2695,0.343,10,"L",48,57,"IL",0,0.294,0,1,0,0,1,0.6125,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"Bob Biggins",19,"R","white","male",0,"41",0,0.6667787,0,0,-0.2695,-0.136,10,"L",27,32,"IL",0,0.294,0,1,0,0,0,0.1335,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"William Black",25,"R","white","male",0,"104",1,0.642872105,0,1,-0.2695,0.013,10,"L",64,46,"IL",0,0.294,0,1,0,0,0,0.2825,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"Mike Boland",16,"D","white","male",0,"71",0,0.638770793,1,0,-0.2695,-0.69,10,"L",24,39,"IL",0,0.294,1,0,1,0,0,0.4205,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Mike Bost",16,"R","white","male",1,"115",0,0.575441796,0,0,-0.2695,-0.112,10,"L",32,32,"IL",0,0.294,0,1,0,0,0,0.1575,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"John Bradley",8,"D","white","male",0,"117",1,0.764550425,1,0,-0.2695,-0.525,10,"L",31,16,"IL",0,0.294,1,0,1,0,0,0.2555,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Dan Brady",10,"R","white","male",0,"88",0,1,0,1,-0.2695,-0.105,10,"L",23,24,"IL",0,0.294,0,1,0,0,0,0.1645,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"Rich Brauer",8,"R","white","male",0,"100",0,1,0,0,-0.2695,0.37,10,"L",19,40,"IL",0,0.294,0,1,0,0,0,0.6395,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"James Brosnahan",14,"D","white","male",0,"36",0,1,0,0,-0.2695,-0.491,10,"L",5,8,"IL",0,0.294,1,0,1,0,0,0.2215,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Daniel Burke",20,"D","white","male",1,"23",0,1,1,0,-0.2695,-1.339,10,"L",23,24,"IL",0,0.294,1,0,1,0,0,1.0695,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"William Burns",2,"D","black","male",0,"26",0,0.860633633,0,0,-0.2695,-1.436,10,"L",37,24,"IL",0,0.294,1,0,1,1,0,1.1665,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Michael Carberry",1,"D","white","male",0,"36",1,1,0,0,-0.2695,-0.829,10,"L",0,2,"IL",0,0.294,1,0,1,0,0,0.5595,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"John Cavaletto",2,"R","white","male",0,"107",0,0.538870133,0,0,-0.2695,0.746,10,"L",27,28,"IL",0,0.294,0,1,0,0,0,1.0155,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"Linda Chapa LaVia",8,"D","latino","female",0,"83",0,0.75494471,1,0,-0.2695,0.033,10,"L",62,61,"IL",0,0.294,1,0,1,1,1,0.3025,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Franco Coladipietro",4,"R","white","male",0,"45",1,0.524107235,0,0,-0.2695,0.3,10,"L",17,27,"IL",0,0.294,0,1,0,0,0,0.5695,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"Sandy Cole",4,"R","white","female",1,"62",0,1,0,0,-0.2695,0.593,10,"L",20,35,"IL",0,0.294,0,1,0,0,1,0.8625,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"Annazette Collins",10,"D","black","female",1,"10",1,1,1,0,-0.2695,-1.034,10,"L",7,15,"IL",0,0.294,1,0,1,1,1,0.7645,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Marlow Colvin",10,"D","black","male",0,"33",0,1,1,0,-0.2695,-1.495,10,"L",13,23,"IL",0,0.294,1,0,1,1,0,1.2255,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Michael Connelly",2,"R","white","male",0,"48",0,0.580749417,0,0,-0.2695,0.518,10,"L",27,42,"IL",0,0.294,0,1,0,0,0,0.7875,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"Elizabeth Coulson",14,"R","white","female",0,"17",0,0.514775977,0,0,-0.2695,0.176,10,"L",57,52,"IL",0,0.294,0,1,0,0,1,0.4455,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"Fred Crespo",4,"D","white","male",0,"44",0,0.68335017,1,0,-0.2695,-0.379,10,"L",32,34,"IL",0,0.294,1,0,1,0,0,0.1095,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Tom Cross",18,"R","white","male",0,"84",0,0.597771383,0,1,-0.2695,-0.139,10,"L",61,19,"IL",0,0.294,0,1,0,0,0,0.1305,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"Shane Cultra",8,"R","white","male",1,"105",0,1,0,0,-0.2695,0.757,10,"L",3,17,"IL",0,0.294,0,1,0,0,0,1.0265,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"Barbara Currie",32,"D","white","female",0,"25",0,1,1,1,-0.2695,-1.567,10,"L",77,28,"IL",0,0.294,1,0,1,0,1,1.2975,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"John D'Amico",7,"D","white","male",0,"15",0,1,1,0,-0.2695,-1.014,10,"L",19,24,"IL",0,0.294,1,0,1,0,0,0.7445,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"William Davis",9,"D","black","male",0,"30",0,1,1,0,-0.2695,-1.433,10,"L",39,33,"IL",0,0.294,1,0,1,1,0,1.1635,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Monique Davis",24,"D","black","female",0,"27",0,1,1,0,-0.2695,-1.287,10,"L",44,42,"IL",0,0.294,1,0,1,1,1,1.0175,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Anthony DeLuca",2,"D","white","male",1,"80",0,1,0,0,-0.2695,-0.576,10,"L",23,25,"IL",0,0.294,1,0,1,0,0,0.3065,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Lisa Dugan",8,"D","white","female",1,"79",1,1,1,0,-0.2695,-0.563,10,"L",46,37,"IL",0,0.294,1,0,1,0,1,0.2935,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Kenneth Dunkin",9,"D","black","male",0,"5",0,1,1,0,-0.2695,-0.854,10,"L",14,32,"IL",0,0.294,1,0,1,1,0,0.5845,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Jim Durkin",5,"R","white","male",0,"82",1,1,0,1,-0.2695,0.204,10,"L",8,20,"IL",0,0.294,0,1,0,0,0,0.4735,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"Roger Eddy",8,"R","white","male",0,"109",0,1,1,0,-0.2695,0.527,10,"L",46,33,"IL",0,0.294,0,1,0,0,0,0.7965,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"Keith Farnham",2,"D","white","male",0,"43",0,0.490242527,0,0,-0.2695,-0.37,10,"L",54,53,"IL",0,0.294,1,0,1,0,0,0.1005,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Sara Feigenholtz",16,"D","white","female",0,"12",0,0.844305074,1,0,-0.2695,-1.421,10,"L",36,23,"IL",0,0.294,1,0,1,0,1,1.1515,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Robert Flider",8,"D","white","male",1,"101",1,1,1,0,-0.2695,0.067,10,"L",25,33,"IL",0,0.294,1,0,1,0,0,0.3365,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Mary Flowers",26,"D","black","female",0,"31",0,1,1,0,-0.2695,-1.4,10,"L",38,23,"IL",0,0.294,1,0,1,1,1,1.1305,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"LaShawn Ford",4,"D","black","male",0,"8",1,1,1,0,-0.2695,-1.512,10,"L",26,38,"IL",0,0.294,1,0,1,1,0,1.2425,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
"Mike Fortner",4,"R","white","male",0,"95",0,0.762919515,0,0,-0.2695,0.334,10,"L",43,33,"IL",0,0.294,0,1,0,0,0,0.6035,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,FALSE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0.297016923,0,0,0,-0.9045,0.276,-0.6515,0.4315,0.276,0,0,0,"ILL10","L",10,"#D55E00",2010
"Jack Franks",12,"D","white","male",0,"63",0,1,1,0,-0.2695,0.096,10,"L",46,53,"IL",0,0.294,1,0,1,0,0,0.3655,42,127,31,78,0.330708661,0.244094488,0.614173228,0.385826772,TRUE,"D",0.556048304,"il",0.714154132,0.586273596,0,0.228346456,0.559121999,0.284906574,0.297016923,0.224702193,1,0,0,0.559121999,0,-0.9045,0.276,-0.6515,0.4315,0,0,-0.9045,0,"ILL10","L",10,"#0072B2",2010
